CTUID,Communities,Quadrant,total_weighted_CEI_Score,economic_opportunity_domain_score,accessibility_and_amenities_domain_score,population_health_domain_score,community_belonging_and_safety_domain_score,human_and_social_wellbeing_domain_score,climate_and_environment_domain_score,activity_limitation_relative_severity_perc,adult_litp,average_commute_time,average_transitscore,average_walkscore,children_perc,commute_transit_perc,commute_vehicle_perc,copd_agestd_perc,core_housing_owner_perc,core_housing_renter_perc,diabetes_agestd_perc,educ_no_cert_perc,first_generation_perc,flood_susceptibility,gender_income_ratio,income_inequality_ratio,indigenous_perc,land_surface_temp,lim_at_perc,mental_illness_agestd_perc,movers_1_year_ago,no_official_languages_perc,noise_pollution_score,park_area_perc,part_time_employment_perc,perceived_health_vg_excellent_perc,perceived_mental_vg_excellent_perc,person_crime_rate,physical_disorder_rate,population_in_poverty_perc,property_crime_rate,proximity_childcare,proximity_grocerystores,proximity_healthcare,proximity_library,proximity_neighbourhood_parks,proximity_pharmacies,proximity_primary_education,proximity_secondary_education,recent_immigration_perc,refugee_perc,regular_care_provider_yes_perc,renter_households_perc,second_generation_perc,seniors_65_perc,seniors_in_poverty_perc,seniors_living_alone_perc,sense_of_belonging_perc,single_parent_econ_dependency,single_parent_woman_perc,social_assistance_perc,social_disorder_rate,spatial_access_primary_secondary_education_transit,tree_canopy,tree_density,unemployment_rate_perc,voter_turnout_rate,working_poor_18to64_perc,youth_neet_perc
8250019,"GLENBROOK, GLENDALE",SW,42.71,37.77,57.24,58.18,16.82,29.65,50.22,62.66,6.6,23.51,54.85,72,17.03,10.31,81.89,1.91,7.69,24.16,6.29,6.69,28.64,5.73,0.86,4.8,3.59,27.54,11.93,18.85,15.43,1.39,5.25,9.07,46.1,59.1,56.5,791.77,415.68,11.86,3127.47,0.39,0.12,0.16,0.01,0.41,0.08,0.3,0.12,8.77,4.57,79.7,44.39,22.26,11.68,6.45,26.02,61.9,39.9,14.75,5.46,8254.16,0.49,18.52,1671.11,10.96,51.13,8.43,11.36
8250020,KILLARNEY/GLENGARRY,SW,37.5,33.79,57.86,53.85,18.8,26.61,51.31,63.99,3.08,23.59,56.25,81.25,17.04,14.85,76.92,1.81,4.96,22.99,4.78,4.49,27.2,5.92,0.86,5,3.03,27.8,9.59,17.32,19.74,1.16,6.09,7.93,43.1,59.1,56.5,736.43,426.36,11.84,4186.05,0.47,0.15,0.26,0.02,0.19,0.07,0.23,0.04,7.34,3.78,79.7,42.22,19.67,9.49,10.53,37.89,61.9,30.5,12.19,4.48,9961.24,0.52,15.88,1910.98,8.95,48.34,5.42,12.2
8250021.01,KILLARNEY/GLENGARRY,SW,33.18,27.99,62.94,53.26,18.24,24.34,47.08,60.78,3.83,22.76,58.5,82.1,17.84,14.94,72.99,1.6,0,19.1,4.89,2.19,24.6,5.86,0.81,5.4,3.03,27.28,10.27,17.34,20.61,1.08,5.12,6.24,40.11,59.1,56.5,648.65,396.4,9.09,3531.53,0.41,0.1,0.35,0,0.13,0,0.13,0,4.46,2.52,79.7,36.47,20.86,9.19,6,40.82,61.9,29.6,12.03,2.2,7243.24,0.53,16.24,2637.36,9.7,48.29,5.77,10.34
8250021.02,RICHMOND,SW,31.77,27.94,66.75,50.28,16.92,20.13,51.03,57,2.76,21.35,56.05,78.75,16.45,10.74,83.47,1.4,5.36,28.07,4.13,1.65,22.51,5.78,0.79,5.8,3.32,26.7,10.31,16.32,17.31,0.77,6.4,9.32,46.58,59.1,56.5,360.45,360.45,8.18,4531.41,0.23,0.05,0.33,0,0.14,0,0.16,0,1.28,1.03,79.7,33.9,21.23,11.57,0,43.75,61.9,13.9,5.77,0,4891.86,0.59,15.36,1706.87,10.48,48.31,3.77,14.81
8250022.01,"CURRIE BARRACKS, GARRISON WOODS",SW,23.68,22.72,59.37,29.56,8.62,25.62,51.92,63.1,2.55,19.41,50.15,73.5,16.39,4.68,82.98,1.33,2.81,17.19,3.13,1.16,20.97,5.54,0.68,5.8,1.95,26.43,7.28,17.35,14.25,0.64,4.74,14.48,41.73,85,81.9,374.83,434.01,4.75,2268.69,0.1,0.1,0.34,0,0.32,0.06,0.23,0.36,2.7,2.82,84.3,30.73,23.78,21.32,3.62,40.29,84.7,15.3,11.16,1.52,2742.16,0.49,9.19,1635.5,10.62,55.8,3.98,5.41
8250022.02,LINCOLN PARK,SW,34.44,38.07,74.71,31.13,11.51,30.39,56.83,62.63,5.66,21.84,51.15,63.95,16.87,5.64,86.67,1.02,6,24.26,4.27,1.69,22.8,5.67,0.75,5.6,3.55,26.28,15.44,18.22,20.72,0.83,6.63,6.11,42.94,85,81.9,759.88,364.74,11.17,2674.77,0.1,0.04,0.12,0,0.17,0.09,0.01,0.02,2.37,2.52,84.3,48.14,23.14,18.09,16.13,66.13,84.7,26.2,15.28,2.83,3343.47,0.47,5.9,1405.09,10.7,52.53,7.38,10.53
8250023,ALTADORE,SW,17.86,19.42,65.18,14.71,5.13,19.66,41.6,58.54,1.69,18.92,42.55,67.3,24.52,3.17,83.45,0.88,2.68,8.7,3.09,0.33,17.88,5.65,0.59,6,2.46,24.93,4.97,15.52,15.34,0.1,3.51,18.01,38.83,92.5,85.2,247.95,133.51,3.59,2098.04,0.11,0.02,0.34,0.01,0.18,0,0.22,0.4,2.74,1.44,100,18.95,22.52,8.68,4.49,23.86,93.7,9.7,8.67,0.78,2155.25,0.43,19.5,2230.32,7.46,58.72,3.36,9.48
8250024,"ALTADORE, SOUTH CALGARY",SW,27.79,33.36,60.3,34.58,15.56,22.7,50.06,60.12,2.95,21.14,46.85,85.55,13.81,7.48,79.92,1.1,4.1,19.33,3.21,2.67,21.02,5.33,0.85,6.2,3.11,26.57,9.68,16.74,26.97,0.63,4.92,8.29,43.39,72.7,74.3,701.56,687.53,10.97,4532.06,0.13,0.11,0.47,0.07,0.22,0.03,0.2,0.2,3.75,2.59,84.8,48.42,22.79,8.98,7.63,43.41,69.2,13.1,9.51,2.72,7113.79,0.52,15.53,1722.97,9.68,55.57,5.41,14.48
8250025,"BANKVIEW, RICHMOND",SW,32.64,35.35,57.92,37.98,17.37,23.1,48.15,60.11,4.03,21.56,55.5,77.05,12.79,8.48,76.61,1.55,6.3,21.65,3.84,4.43,25.12,5.55,0.83,6.1,4.82,26.58,11.08,17.41,21.13,0.47,4.15,6.97,45.74,72.7,74.3,933.71,485.53,11.99,3081.23,0.13,0.04,0.42,0.01,0.42,0,0.34,0.12,4.53,3.94,84.8,48.69,21.15,9.71,5.56,31.78,69.2,25.9,8.57,4.93,6143.79,0.54,16.61,2027.45,11.91,47.93,5.86,10.43
8250026,BANKVIEW,SW,43.77,52.47,56.39,43.05,22.96,30.74,47.39,61.4,7.01,24.46,52.75,90.85,9.87,12.85,73.98,2.11,10.09,26.35,5.04,4.17,29.64,5.36,0.92,4.8,7.74,25.75,19.73,18.33,32.3,0.88,3.41,4.46,51.94,72.7,74.3,1678.45,647.82,20.99,5094.23,0.13,0.09,0.5,0.01,0.51,0.02,0.21,0.08,7.59,6.19,84.8,73.47,16.64,7.22,18.18,68.18,69.2,46.6,13.57,6.84,10747.94,0.57,19.36,1725.35,11.39,44.05,10.45,15.07
8250027.01,LOWER MOUNT ROYAL,SW,37.99,46.58,44.18,44.47,25.54,26.38,54.34,64.94,6.19,24.99,59.85,98.85,6.06,14.52,64.32,1.74,10.62,23.21,4.46,7.08,31.3,5.75,0.89,5.4,5.6,26.84,16.86,18.46,30.9,0.49,5.22,0.22,48.55,76.2,71.6,1658.16,1116.07,18.15,6473.21,0.23,0.31,0.83,0.01,0.3,0.13,0.2,0.25,7.43,5.72,77.2,70.8,19.11,9.57,8.7,41.3,64.3,50.8,8.77,4.81,17889.03,0.65,10.95,1705.34,14.16,44.35,11.3,6.56
8250027.02,UPPER MOUNT ROYAL,SW,21.29,37.36,58.22,37.07,17.45,22.96,37.67,63.21,1.7,17.74,51.1,88.15,12.78,3.28,75.41,0.82,2.8,24.53,3.04,2.87,22.81,4.91,0.73,13.7,2.65,23.75,9.38,16.82,13.14,0.57,1.9,3.34,52.47,76.2,71.6,511.36,511.36,8.24,3125,0.11,0.11,0.69,0,0.3,0.03,0.17,0.17,2.66,0.85,77.2,33.73,25.99,19.6,0,30.77,64.3,7.1,6.19,2.01,6704.55,0.56,32.13,1948.75,9.5,45.6,6.41,14.29
8250027.03,CLIFF BUNGALOW,SW,29.13,45.02,35.82,41.45,28.06,23.13,43.85,58.9,4.72,24.26,58.05,95.85,5.37,7.28,60.93,1.39,0,27.22,3.36,5.28,25.35,6.78,0.92,5,4.18,25.6,15.25,18.86,26.4,0.85,7.46,24.42,50.19,76.2,71.6,1468.1,1637.49,16.99,7509.88,0.18,0.41,0.78,0.08,0.29,0.32,0.23,0.46,3.34,2.54,77.2,69.92,19.5,9.6,17.14,61.76,64.3,27.1,10,5.39,27329.19,0.68,19.17,2165.86,16.01,41.23,9,9.09
8250028,"ELBOW PARK, UPPER MOUNT ROYAL",SW,16.84,26.04,66.54,33.42,12.47,16.88,32.08,60.45,1.11,17.09,49.85,74.7,17.84,0,82.32,0.62,5.38,9.38,2.31,0.8,14.81,7.62,0.58,9.4,1.66,23.3,5.82,14.82,6.91,0.12,4.53,15.42,46.82,76.2,71.6,272.34,346.62,6.39,3193.86,0.07,0.03,0.38,0.01,0.31,0.02,0.18,0.07,1.02,0.5,77.2,11.18,22.86,19.58,3.98,18.39,64.3,8.9,4.62,0.49,3466.2,0.53,31.43,3081.13,10.53,53.42,3.45,5.43
8250029,"ELBOYA, MEADOWLARK PARK, WINDSOR PARK",SW,34.71,37.94,63.48,45.67,17.44,26.55,44.2,62.12,4.21,21.67,52.25,75.5,13.55,9.44,75.34,1.4,8.01,23.79,4.49,3.62,31.16,5.69,0.83,7.4,2.69,24.8,11.19,16.7,15.35,1.41,4.67,15.75,47.12,67.8,65.4,1131.92,838.46,10.91,6623.81,0.29,0.12,0.17,0,0.28,0.02,0.12,0.15,5.46,3.61,79.1,47.78,21.1,17.04,5.19,35.93,70.7,28.7,11.11,2.22,11486.86,0.53,19.66,1831.32,11.12,50.32,7.41,9.43
8250030,MANCHESTER INDUSTRIAL,SE,39.85,40.99,67.96,38.98,27.22,23.94,56.75,63.34,12.64,21.95,55.55,66.15,11.38,10.99,74.93,1.9,5.66,22.14,4.38,4.01,30.68,7.95,0.92,6.5,2.51,26.19,13.38,17.02,21.99,1.05,12.75,14.52,45.59,79.2,75.5,3491.48,2279.73,11.62,17046.62,0.13,0.07,0.19,0,0.25,0.03,0.05,0.07,5.34,3.42,82.1,55.78,19.9,12.31,4.42,30.97,85,28.1,12.65,4.89,39227.77,0.6,10.37,1405.38,12.62,50.66,9.33,12.62
8250031.01,BELTLINE,SE,32.49,39.48,33.17,41.58,29.97,25.1,72.44,63.02,5.59,22.34,67.35,73.15,5.05,11.91,51.86,1.5,5,17.93,4.48,3.41,39.1,22.62,0.78,5,2.06,26.06,14.49,17.88,34.29,1.64,19.05,1.68,42.32,73,72.3,2898.55,1182.3,14.24,6178.49,0.24,0.41,0.65,0.43,0.23,0.26,0.15,0.39,10.6,4.06,81.7,72.4,17.78,7.34,17.72,62.67,67.4,40.1,4.78,2.79,28737.6,0.74,4.97,631.83,12.45,42.91,8.18,14.89
8250031.02,MISSION,SW,29.91,36.42,44.72,39.26,23.6,20.84,51.79,60.26,2.59,21.23,63.5,91.6,5.04,7.37,64.59,1.29,9.14,16.07,3.69,3.03,27.56,15.39,0.89,5,3.88,25.34,12.32,17.82,27.21,0.78,7.77,9.02,44.27,73,72.3,1162.79,767.88,11.76,4826.68,0.12,0.27,0.58,0.07,0.37,0.24,0.19,0.24,5.44,1.47,81.7,69.12,18.56,14.69,6.78,47.86,67.4,27.5,6.36,3.32,13492.76,0.67,15.14,2000.84,12.5,40.41,7.47,11.25
8250032,"ALYTH/BONNYBROOK, HIGHFIELD",SE,37.96,34.96,70.47,49.22,22.27,21.46,66.1,60,4.16,21.75,43.45,45.05,14.9,9.09,70.13,2.6,7.41,25,4.4,6.51,16.09,9.62,0.84,5.3,4.83,26.82,12.19,20.02,18.41,0.23,10.68,4.44,40.93,70.9,78.8,1307.48,3246.17,9.66,18530.21,0.09,0.03,0.14,0,0.16,0,0.14,0.21,2.99,1.81,74.8,45.32,19.77,10.61,9.76,33.33,83,42.4,10.48,4.72,18981.06,0.5,5.11,342.33,13.13,48.34,7.52,0
8250033.01,OGDEN,SE,49.43,39.53,78.37,53.5,20.8,27.17,45.29,65.81,4.13,22.12,41.45,51.85,12.8,8.33,88.26,3.4,7.3,23.28,7.02,10.3,16.69,14.43,0.83,3.5,9.27,23.17,12.03,23.08,14.77,0.79,3.77,40.54,46.22,68.2,77.7,883.84,536.62,12.21,2619.95,0.2,0.02,0.02,0,0.23,0,0.03,0.01,2.63,2.37,88.7,40.13,17.16,17.69,6.9,22.41,64.2,42.6,16.29,6.62,4955.81,0.31,16.88,870.19,16.04,38.25,5.49,28.3
8250033.02,"FOOTHILLS, OGDEN, OGDEN SHOPS",SE,53.04,41.08,73.53,54.95,22.78,29.12,63.85,64.05,7.54,21.54,41.7,40.6,14.49,8.24,84.71,3.45,7.22,23.3,7.52,15.11,18.04,12.35,0.9,3.3,7.45,26.98,13.54,23.51,11.28,0.47,9.76,14.51,51.55,68.2,77.7,1467.27,808.88,9.22,6659.14,0.28,0.09,0.02,0.08,0.22,0.04,0.06,0.03,2.94,2.9,88.7,40.22,16.86,16.65,6.33,28.3,64.2,62.5,19.71,6.8,8747.18,0.37,6.7,376.8,12.8,38.24,9.06,15.46
8250034,INGLEWOOD,SE,37.1,34.38,73.98,46.67,17.08,22.99,54.46,62.08,5.42,20.91,51.55,48.85,11.19,4.15,77.96,1.91,5.6,26.15,4.4,5.2,15.96,17.45,0.86,5.2,5.32,22.98,11.56,20.16,21.22,0.59,17.56,29.9,42.18,70.9,78.8,1118.72,1164.38,8.23,6552.51,0.06,0.07,0.08,0,0.37,0.02,0.04,0,1.94,1.79,74.8,43.89,22.25,11.64,6.38,41.49,83,40.8,10.27,4.32,12237.44,0.45,13.65,1243.87,9.35,48.34,5.35,16.67
8250035.01,"DOVER, VALLEYFIELD",SE,59.83,45.23,73.54,73.85,26.42,37.27,55.2,67.44,7.46,23.74,42.2,49.6,14.28,10.1,85.44,3.32,10.75,34.22,8.99,18.48,27.4,6.98,0.83,3.2,6.94,26.73,14.33,18.93,13.04,1.96,6.07,15.85,50.51,48,56.3,1203.6,638.05,10.7,4712.88,0.19,0.07,0.01,0,0.34,0.01,0.13,0.01,4.34,7.56,76.3,36.66,17.5,20.87,8.01,36.93,49.8,70.1,18.13,7.51,7439.1,0.31,10.37,1053.24,15.7,33.88,7.55,22.81
8250035.02,SOUTHVIEW,SE,59.49,52.06,62.19,76,33.45,35.67,47.19,67.82,5.7,24.52,49.7,79.8,8.93,8.94,85.37,3.85,19.28,25.37,8.55,18.23,19.94,8,0.87,3.7,8.86,26.28,16.05,20.11,11.46,0.9,4.54,17.65,50.89,48,56.3,2321.43,1309.52,11.71,10000,0.17,0.3,0.04,0,0.19,0.14,0.19,0.19,2.22,4.02,76.3,45.1,23.1,21.73,8.2,37.7,49.8,85,17.95,8.24,24702.38,0.43,18,1774.29,16.29,31.3,8.6,32.14
8250036.01,DOVER,SE,61.99,44.14,69.97,74.85,30.96,34.75,61.75,66.23,7.19,24.8,45.7,55.75,15.68,13.24,82.35,3.86,8.89,23.15,8.18,20.98,25.87,7.35,0.86,3,6.3,27.3,11.42,19.46,9.84,1.41,10.36,6.59,46,48,56.3,1890.52,846.5,13.39,4345.37,0.29,0.06,0.02,0,0.39,0,0.16,0.04,3.21,7.2,76.3,37.07,19.17,13.98,7.69,21.36,49.8,62.7,20.88,9.29,11455.98,0.29,9.49,719.74,19.85,26.13,8.06,26.97
8250036.02,FOREST LAWN,SE,69.87,63.86,64.02,69.31,36.33,40.2,56.63,66.01,12.14,25.94,52.3,81.2,14.26,11.74,81.74,3.77,19.42,26.58,8.44,22.25,30.71,7.39,0.89,3.2,9.61,27.15,18.42,19.99,20.66,3.12,4.67,2.46,49.49,48.4,66.3,3507.73,1575.51,22.2,8442.33,0.25,0.21,0.04,0.02,0.2,0.05,0.21,0.11,5.35,6.24,80.9,60.07,16.38,14.26,16.48,31.11,65,90.2,24.54,15.73,27140.31,0.41,14.53,879.71,20.19,26.16,12.14,27.14
8250037,FOREST LAWN,SE,78.14,70.87,57.04,71.41,37.45,50.93,54.5,73.33,15.28,26.55,55,82.6,20.24,16.99,73.36,4.57,14.63,27.04,8.62,29.57,37.11,6.79,0.99,3.2,11.1,27.06,22.64,18.3,23,3.3,4.59,26.83,53.17,48.4,66.3,4000.96,1349.72,21.95,7278.86,0.24,0.2,0.06,0.17,0.16,0.04,0.33,0.1,14.3,12.12,80.9,74.31,14.92,9.4,17.11,24,65,118.2,25.14,17.2,28561.1,0.48,7.98,890.32,27.32,25.85,12.83,26.13
8250038.02,MARLBOROUGH PARK,NE,60.86,45.52,62.02,60.43,21.47,41.13,59.14,66.45,9.72,25.04,47,68.2,17.69,3.6,91.73,2.46,10.95,24.62,8.8,23.92,38.39,7.47,0.91,3,4.02,27.46,9.96,16.12,8.22,3.28,4.38,1.97,54.35,53.3,52.4,916.71,785.75,12.67,3535.88,0.33,0.14,0.03,0,0.39,0.09,0.31,0.24,4.27,11.66,90.5,24.91,22.08,16.12,7.14,21.43,71.6,57.6,16.99,6.69,5840.75,0.35,9.31,917.85,19.34,31.62,10.68,19.78
8250038.03,MARLBOROUGH,NE,67.04,51.21,67.92,57.76,26.53,48.54,61.17,64.59,17.61,27.03,56.35,70.8,19.07,14.49,82.69,2.4,9.7,25,8.05,19.53,52.08,9.59,0.87,3.1,2.89,27.6,12.53,12.97,10.77,5.01,6.68,5.57,55.2,45.3,56.7,1455.15,1001.91,14.34,5224.24,0.17,0.07,0.08,0,0.31,0.05,0.13,0.03,14.34,17.28,89.6,43,21.26,16.69,8.82,24.26,56.6,95.1,15.67,6.24,15911.26,0.46,11.1,560.65,17.06,35.4,11.81,22.35
8250038.04,FOREST HEIGHTS,SE,64.53,46.27,67.51,61.76,28.62,43.87,55.64,64.55,11.47,27.27,55.15,74.95,17.97,13.25,83.02,2.54,11.4,20.59,8.79,23.3,43.69,7.8,0.89,3.1,5.51,27.05,12.87,15.53,8.42,4.18,5.85,9.18,53.7,48.4,66.3,2124.18,833.33,13.87,5392.16,0.25,0.07,0.05,0.06,0.33,0,0.16,0.02,7.35,9.18,80.9,33.81,21.64,14.46,4.52,22.58,65,72.2,21.1,7.49,13316.99,0.4,11.56,1233.1,15.99,25.84,10.84,20.5
8250038.05,PENBROOKE MEADOWS,SE,67.4,46.24,71.44,68.31,25.16,47.19,57.92,67.16,11.63,25.29,49.45,64,18.08,8.83,87.75,2.63,9.95,24.58,8.78,25.43,42.8,6.65,0.84,3.1,7.15,27.26,12.7,16.4,10.76,4.76,6.18,12.23,47.1,45.3,51.7,930.43,655.53,13.45,3171.92,0.26,0.03,0.03,0,0.32,0.01,0.16,0.04,10.03,11.62,82.1,36.14,21.24,14.27,4.51,17.29,68.7,74.4,19.51,7.99,7168.53,0.35,9.28,841.4,20.04,24.36,9.56,29.09
8250038.06,"ABBEYDALE, HUXLEY",NE,56.58,36.65,77.98,43.34,23.25,38.53,61.06,68.68,7.87,26.78,40,29.2,19.89,10.27,87.6,2.49,9.04,15.38,8.52,19.56,34.2,7.91,0.88,3.1,6.27,25.45,12.39,15.96,8.37,2.29,10.25,7.43,47.28,67.98,82.75,1051.67,579.18,9.87,2225.27,0.24,0.03,0.02,0,0.21,0,0.14,0.05,6.35,7.27,92.81,23.58,20.81,12.12,3.82,18.71,55.47,57.2,18.99,5.81,4602.96,0.27,6.55,674.06,14.6,34.59,8.58,14.56
8250038.07,MARLBOROUGH PARK,NE,59.7,38.22,72.81,58.11,21.52,44.17,57.55,64.75,11.4,26.03,42.75,53.8,18.86,12.24,84.26,2,6.67,13.33,8.62,20.21,40,7.9,0.92,3,4.8,27.25,10.34,15.88,9.61,3.19,5.26,4.79,50.36,53.3,52.4,942.98,635.96,9.03,4057.02,0.18,0.06,0.03,0,0.32,0.02,0.13,0.04,10.06,10.45,90.5,25.49,27.31,14.69,4.2,18.18,71.6,56,16.94,5.81,5548.25,0.34,8.81,1266.93,14.7,31.64,10.44,16.22
8250038.08,MARLBOROUGH,NE,64.25,43.4,70.17,56.9,23.59,48.64,60.91,66.18,13.56,25.65,59.65,62.65,17.3,12.67,83.02,2.11,7.08,21.84,8.46,24.71,53.24,9.79,0.88,2.9,2.33,27.82,10.06,12.36,11.67,5.4,8.38,9.81,51.5,45.3,56.7,907.17,696.2,12.25,3481.01,0.15,0.07,0.05,0,0.24,0.01,0.12,0.1,15.1,17.58,89.6,27.5,20.04,16.56,8.7,15.63,56.6,78.8,15.64,7.42,6814.35,0.43,8.45,953.64,15.1,35.43,10.61,15.57
8250038.1,RUNDLE,NE,58.92,41.93,66.98,39.58,19.37,44.77,58.74,63.33,12.44,26.38,54.2,66.55,18.45,10.43,83.97,1.66,8.56,18.67,8.99,18.01,50,9.71,0.86,3.1,2.8,27.59,10.54,12.56,8.2,5.13,7.18,10.55,54.38,57.3,87.5,1100.34,820.59,10.73,3356.96,0.2,0.06,0.06,0.09,0.35,0.06,0.09,0.11,8.21,12.97,93.5,22.85,28.26,15.94,5.26,15.38,82.4,57.9,13.84,5.07,8000.75,0.43,11.72,883.01,17.15,33.31,11.72,17.69
8250038.11,RUNDLE,NE,62.41,47.77,62.99,40.47,19.69,46.31,59.97,65.13,18.2,24.64,63.4,72.35,20.35,15.01,75.07,1.58,10.81,16.1,9.94,18.84,53.52,8.6,0.88,3.1,2.89,27.42,13.69,11.85,9.26,4.34,10.25,13.12,56.42,57.3,87.5,944.67,944.67,10.51,3836.51,0.18,0.07,0.08,0.01,0.31,0.05,0.12,0.15,12.73,11.38,93.5,35.36,25.27,13.4,7.19,16.55,82.4,72,18.87,5.97,7962.21,0.55,9.98,886.2,16.76,32.72,11.96,21.32
8250038.12,PINERIDGE,NE,56.43,40.36,69.41,54.71,23.61,42.54,56.45,67.73,9.14,26.39,42.2,66.65,19.27,10.62,83.95,2.38,9.85,35.59,9.34,15.6,38.98,7.23,0.8,3,2.84,27.1,13.55,17.65,9.59,4.15,6.77,14.97,48.98,66.2,67.3,1561.88,968.76,10.39,4824.04,0.27,0.05,0.05,0.03,0.33,0.07,0.05,0.15,5.1,8.41,87.2,30.23,25.95,17.59,4.71,37.06,72.9,57.7,17.9,5.9,13760.38,0.35,10.54,985.31,13.37,33.29,9.02,15.38
8250038.13,WHITEHORN,NE,60.83,41.6,67.58,56.97,20.86,44.72,55.47,63.62,13.09,25.92,59.6,60.95,19.43,13.07,81.6,1.59,7.05,15.56,9.93,22.74,49.38,7.39,0.86,3,3.24,27.11,11.06,13.75,10.43,5.24,6.35,16.69,58.91,63.1,47.9,685.45,342.73,10.39,2303.88,0.21,0.06,0.06,0,0.28,0.02,0.15,0.12,8.1,10.1,88.4,29.01,27.26,15.71,3.8,12.03,71.3,66.1,15.02,5.45,3903.27,0.47,11.91,958.53,13.61,30.36,10.27,18.06
8250038.14,TEMPLE,NE,60.77,43.67,68.99,51.65,20.91,43.31,55.56,65.59,13.42,25.3,49.9,65.9,21.28,11.67,83.81,1.85,9.85,24.27,8.94,23.35,43.69,7.1,0.85,3,3.29,27.15,11.02,13.97,9.75,3.73,6.34,14.89,53.67,57.7,64.8,869.57,638.86,13.77,3300.8,0.33,0.12,0.05,0,0.31,0.03,0.09,0.04,10.13,10.04,89,28.65,24.07,13.56,6.58,14.47,72.3,55.4,16.72,4.24,6122.45,0.39,11.39,1057.18,15.8,32.65,10.19,20.98
8250038.15,WHITEHORN,NE,61.42,42.77,68.59,55.71,20.29,42.23,63.7,63.53,16.36,25.88,57.15,65.15,18.27,17.11,80,1.76,6.2,18.87,10.18,16.25,54.58,7.3,0.88,3,2.23,27.09,9.58,13.31,11.75,5.31,15.43,4.04,53.21,66,56.6,930.08,298.95,11.72,2076.07,0.24,0.09,0.04,0,0.24,0.1,0.03,0.02,9.93,10.02,84.6,29.54,25.15,16.36,4.24,10.91,80.1,73.1,14.85,5.52,5264.91,0.47,10.7,760.96,17.26,29.2,11.56,17.36
8250038.17,FALCONRIDGE,NE,64.17,46.79,70.05,66.95,25.53,42.62,58.62,65.21,13.52,28.29,49.1,62.95,23.34,10.69,85.51,1.68,9.88,16.13,9.77,19.82,44.16,7.36,0.92,2.9,4.97,26.75,13.5,13.54,10.92,3.48,5.96,13.05,54.88,47.5,49.4,1755.26,844.51,12.76,3527.07,0.29,0.06,0.04,0,0.22,0.04,0.14,0.19,8.45,7.37,77.2,32.73,24.86,10.1,7.38,14.75,60.1,80.2,20.19,7.27,9239.94,0.32,7.3,737.52,16.47,33.69,10.98,17.57
8250038.18,CASTLERIDGE,NE,62.83,43.36,69.13,58.92,21.39,43.57,58.23,65.01,15.22,27.81,57.15,72,19.74,13.83,81.96,1.45,9.52,15.18,9.57,19.58,55.84,7.37,0.87,2.9,4.65,26.76,10.86,13.47,12.71,5.47,6.51,8.27,57.05,49.6,56.4,897.67,587.56,11.17,2578.75,0.38,0.06,0.03,0,0.26,0.02,0.08,0.06,12.56,9.46,84.1,31.38,22.12,10.93,3.73,11.85,66.9,61.2,13.44,5.6,5043.25,0.37,9.24,899.58,16.77,34.69,10.37,19.55
8250038.2,APPLEWOOD PARK,SE,62.02,38.31,81.39,54.76,23.41,42.87,62.29,64.82,6.46,26.3,43.15,22.9,16.83,11.47,85.3,1.32,9.42,20.59,9.1,21.61,53.7,7.6,0.91,3,3.95,26.3,9,12.28,12.62,5.05,10.23,8.97,46.49,49.1,53.6,658.38,248.72,10.03,1565.47,0.25,0.02,0.01,0,0.2,0.02,0,0,7.69,9.66,89.9,38.56,24.76,10.9,7.38,13.51,69.4,55.5,16.53,4.68,3160.2,0.23,4.84,702.82,15.89,24.4,7.63,17.65
8250038.21,"PENBROOKE MEADOWS, RED CARPET",SE,69.59,51.7,74.84,74.54,27.16,42.62,63.61,72.24,8.36,27.31,50.4,48.4,15.56,13.99,80.83,3.62,15.22,26.11,8.83,25.16,33.14,8.21,0.85,2.9,8.97,26.72,14.9,19.36,14.95,3.03,11.4,5.89,52,45.3,51.7,1081.18,834.6,16.13,3186.65,0.26,0.06,0.03,0,0.13,0.01,0.11,0,7.64,7.02,82.1,36.73,17.85,14.52,6.41,27.1,68.7,80.8,20.36,11.9,10375.57,0.37,7.14,588.45,19.77,23.36,9.09,26.79
8250038.22,"10E, MONTEREY PARK",NE,58.88,38.1,79.58,50.78,17.75,45.09,63.48,66.97,6.25,24.15,34.53,27.45,12.61,6.98,88.95,1.34,7.69,37.21,9.15,22.37,48.9,8.67,0.86,3.3,1.58,25.29,8.12,12.92,9.01,7.36,7.62,2.91,56.29,51,71.6,460.83,460.83,6.72,2808.87,0.19,0.14,0.04,0,0.17,0.06,0.04,0,4.2,9.77,85.3,14.14,32.07,23.79,3.35,10.48,75.7,42.9,11.74,4.08,4125.52,0.3,3.69,340.97,16.41,35.4,8.37,15.11
8250038.23,PINERIDGE,NE,63,47.64,68.09,54.86,22.58,44.77,56.58,63.9,15.41,25.29,38.8,60.9,21.18,9.12,86.32,2.44,8.61,28.57,9.6,23.33,42.32,7.23,0.84,3.4,5.37,27.25,16.4,16.96,8.99,3.4,5.64,13.77,49.37,66.2,67.3,1358.91,1039.17,14.33,4236.61,0.21,0.06,0.05,0.1,0.3,0.08,0.16,0.14,9.89,10.11,87.2,38.86,24.11,13.79,3.9,15.03,72.9,90.5,19.41,7.62,8812.95,0.35,11.44,834.05,18.94,32.8,11.32,15.09
