CTUID,Communities,Quadrant,total_weighted_CEI_Score,economic_opportunity_domain_score,accessibility_and_amenities_domain_score,population_health_domain_score,community_belonging_and_safety_domain_score,human_and_social_wellbeing_domain_score,climate_and_environment_domain_score,activity_limitation_relative_severity_perc,adult_litp,average_commute_time,average_transitscore,average_walkscore,children_perc,commute_transit_perc,commute_vehicle_perc,copd_agestd_perc,core_housing_owner_perc,core_housing_renter_perc,diabetes_agestd_perc,educ_no_cert_perc,first_generation_perc,flood_susceptibility,gender_income_ratio,income_inequality_ratio,indigenous_perc,land_surface_temp,lim_at_perc,mental_illness_agestd_perc,movers_1_year_ago,no_official_languages_perc,noise_pollution_score,park_area_perc,part_time_employment_perc,perceived_health_vg_excellent_perc,perceived_mental_vg_excellent_perc,person_crime_rate,physical_disorder_rate,population_in_poverty_perc,property_crime_rate,proximity_childcare,proximity_grocerystores,proximity_healthcare,proximity_library,proximity_neighbourhood_parks,proximity_pharmacies,proximity_primary_education,proximity_secondary_education,recent_immigration_perc,refugee_perc,regular_care_provider_yes_perc,renter_households_perc,second_generation_perc,seniors_65_perc,seniors_in_poverty_perc,seniors_living_alone_perc,sense_of_belonging_perc,single_parent_econ_dependency,single_parent_woman_perc,social_assistance_perc,social_disorder_rate,spatial_access_primary_secondary_education_transit,tree_canopy,tree_density,unemployment_rate_perc,voter_turnout_rate,working_poor_18to64_perc,youth_neet_perc
8250002.35,AUBURN BAY,SE,34.12,22.31,68.85,26.65,17.53,25.7,53.64,58.59,3.15,24.97,44.25,52.1,22.32,3.18,87.28,0.48,5.71,19.23,3.97,4.57,35.44,6.86,0.74,3.1,2.5,26.18,6.6,12.6,17.49,1.91,4.95,20.62,36.47,78.8,75.5,498.68,264.01,5.74,1672.04,0.43,0.17,0.07,0,0.35,0.07,0.17,0.11,7.81,2.64,87.5,27.4,20,8.22,8.47,23.73,72.1,20.1,10.05,0.76,2434.73,0.16,1.13,1837.8,7.67,39.61,5.61,6.12
8250002.36,AUBURN BAY,SE,38.93,27.15,72.77,38.93,18.01,28.19,57.19,63.33,1.65,25.07,47.9,39.85,21.92,4.74,82.85,1.76,5.76,11.02,5.69,4.1,30.35,7.74,0.8,3.2,4.31,27.14,7.16,17.98,21.22,0.76,8.68,11.22,39.78,78.8,75.5,609.58,174.17,8.17,1074.02,0.33,0.05,0.07,0,0.3,0.08,0.17,0.03,6.01,1.83,87.5,48,20.49,10.16,10.42,29.79,72.1,30.1,16.85,1.25,2031.93,0.17,1.78,2094.31,8.44,39.62,7.03,11.11
8250002.37,MAHOGANY,SE,34.04,16.25,86.58,28.32,12.54,20.25,62.44,57.79,1.38,26.63,37.4,24.95,29.22,2.21,92.04,0.45,2.72,0,4.23,3.3,27.62,11.57,0.74,2.9,4.4,24.74,5.27,14.29,14.53,1.06,6.88,5.29,37.2,78.8,75.5,180.89,60.3,5.01,844.14,0.25,0,0.07,0,0.17,0,0.01,0,5.76,0.9,87.5,16.44,18.97,3.92,0,0,72.1,16.1,8.47,1.35,1869.16,0.1,1.1,694.06,10.97,49.1,3.19,11.9
8250002.38,"MAHOGANY, RANGEVIEW, RICARDO RANCH, SETON",SE,34.98,21.74,87.08,24.85,15.72,27.07,61.76,60.61,2.97,26.2,26.7,17.7,25.13,3.45,89.54,0.55,2.71,15.02,3.05,3.6,33.78,8.51,0.7,3.4,2.86,24.38,5.66,12.08,24.7,1.46,5.13,4.4,39.79,78.8,75.5,704.77,373.53,5.5,2967.09,0.2,0.02,0.06,0.01,0.12,0.02,0.03,0.01,7.16,2.39,87.5,25.52,22.88,9.27,5.17,26.96,72.1,23.2,7.32,1.64,3678.91,0.09,1.61,350.88,8.6,49.58,4.66,9.83
8250002.39,CRANSTON,SE,34.66,19.37,74.75,36.94,11.4,23.33,53.45,61.17,2.61,25.97,40.65,41.5,24.98,3.52,92.29,0.88,3.85,13.33,5.47,4.53,29.57,6.89,0.7,3,3.16,25.97,4.28,16.18,10.27,1.5,5.46,23.5,40.92,74.9,74.7,330.23,165.12,5.12,945.66,0.33,0.06,0.05,0,0.17,0.02,0.23,0.17,4.44,2.4,84.2,14.68,20.09,7.28,0,16.09,79.9,21.9,8.68,0.97,1380.97,0.2,5.73,1304.66,9.64,47.19,4.08,14.55
8250002.4,CRANSTON,SE,33.55,17.29,84.82,31.79,11.76,22.5,53.15,61.33,1.21,25.91,27.4,11.8,25.22,2.15,93.23,0.56,2.79,16.67,4.41,3.84,28.92,9.31,0.66,3.5,3.2,24.95,4.62,13.64,14.75,1.36,6.09,36.71,42.65,74.9,74.7,239.13,86.96,4.02,771.74,0.24,0.03,0.04,0,0.24,0.04,0.05,0.04,3.96,3.04,84.2,8.59,20.13,7.77,0,15.03,79.9,19.5,6.36,0.92,1478.26,0.1,6.94,653.95,9.09,47.26,3.38,6.62
8250003,"BURNS INDUSTRIAL, EAST FAIRVIEW INDUSTRIAL, MAPLE RIDGE",SE,37.9,26.7,78.87,45.19,21.25,18.62,55.25,61.54,2.3,21.14,37.3,42.45,13.96,2.26,91.4,2.07,5,25.93,5.92,5.49,15.41,7.73,0.79,3.7,3.37,25.4,6.69,21.7,7.59,0.3,4.35,10.36,41.64,63,79.6,1213.59,1334.95,7.22,16808.25,0.18,0.04,0.04,0,0.13,0,0.17,0.07,1.45,0.46,90.7,10.26,18.3,22.31,3.03,21.37,59.8,34.5,8.29,2.33,13015.78,0.26,8.65,966.15,10.48,48.91,5.06,18.42
8250004,WILLOW PARK,SE,31.95,21.88,77.69,35.22,13.84,20.47,49.04,61.93,1.76,21.88,40.35,49.3,14.91,4.67,90,1.13,4.43,16.67,4.95,4.84,21.52,4.94,0.73,5,2.32,24.83,6.15,15.86,8.17,0.49,4.48,9.32,43.09,63,79.6,194.3,194.3,5.3,1975.39,0.1,0.05,0.06,0,0.22,0,0.12,0.05,1.16,0.97,90.7,14.57,20.7,25.93,0,19.62,59.8,26,6.77,1,1748.7,0.32,21.27,815.87,8.62,50.62,3.65,11.29
8250005,"SOUTHWOOD, WILLOW PARK",SE,42.25,35.31,66.97,41.56,24.83,28.6,60.21,64.15,4.21,21.32,59.15,77.3,16.15,11.19,82.09,1.49,13.45,22.64,6.18,3.43,29.95,6.1,0.81,4,2.66,26.73,10.95,19.28,15.85,1.43,5.55,3.38,50.68,63,79.6,1615.97,1663.5,12.32,23431.56,0.14,0.18,0.09,0.06,0.21,0.02,0.08,0.07,6.51,3.34,90.7,31.03,21.74,18.76,7.14,25.71,59.8,36.2,16.39,2.71,19914.45,0.44,9.57,442.58,14.78,50.64,6.14,0
8250006,SOUTHWOOD,SW,47.34,41.31,63.56,52.56,18.21,28.97,55.29,64.57,6.15,26.01,58,64.65,15.52,16.44,76.13,1.73,6.09,25.12,5.78,9.09,30.16,5.35,0.93,3.4,4.26,26.88,10.7,19.3,15.08,0.91,7.5,12.88,52.44,60.5,64.7,755.09,558.11,13.45,4957.32,0.24,0.06,0.09,0.05,0.2,0,0.26,0.14,7.88,2.47,81.6,43.79,17.38,13.96,3.95,33.33,65.1,39.2,17.37,5.61,9126.72,0.49,13.07,976.31,17.44,46.83,7.47,22.88
8250007.01,BRAESIDE,SW,38.39,28.44,76.11,45.8,13.83,23.82,50.82,65.53,2.93,26.28,41.75,56.9,14.64,7.83,88.02,1.49,7.26,19.47,5.51,5.51,22.72,5.37,0.84,3.3,3.68,25.63,7.54,19.89,11.93,0.7,4.99,10.4,49.13,81.6,79,508.24,245.36,7.89,1699.96,0.18,0.08,0.07,0,0.25,0.05,0.05,0,2.89,2.72,70.4,23.59,18.6,18.49,2.38,23.22,60.3,30.7,13.73,2.76,3960.74,0.36,16.36,1153.24,12.27,54.39,5.32,9.09
8250007.02,CEDARBRAE,SW,47.63,34.33,78.68,62.19,10.54,29.44,55.16,64.14,4.45,25.78,37.75,46.55,15.82,5.83,89.46,1.92,5.11,21.43,7.06,6.84,27.69,6.63,0.87,3.4,7.5,25.86,8.67,20.09,11.66,1.01,4.72,11.64,50.69,49.1,63.6,673.06,319.7,8.59,1766.78,0.21,0.01,0.06,0,0.23,0,0.09,0.06,4.13,4.21,77.7,26.08,16.84,19.28,4.37,23.25,77.9,47.4,17.87,3.68,2338.89,0.31,10.95,790.93,13.33,53.98,6.29,19.64
8250007.03,"GLENMORE PARK, OAKRIDGE",SW,31.63,23.86,78.94,37.94,6.62,21.06,29.57,62.08,2.83,23.9,26.47,27.4,16.9,6.46,85.85,1.01,5.18,17.54,4.58,3.6,21.53,8.23,0.76,4.3,2.22,21.1,7.21,18.31,6.01,0.44,4.34,55.79,41.5,82.5,56.8,409.03,302.33,6.32,2169.66,0.11,0.05,0.08,0,0.31,0.03,0.07,0.06,0.8,1.6,91.1,13.3,21.17,24.73,4.32,13.67,83.5,29.1,10.34,1.88,2792.1,0.29,37.59,759.97,10.53,58.29,3.83,10
8250007.05,GLENMORE PARK,SW,23.07,18.83,80.22,20.3,9.64,22.42,53.61,65.87,0.61,18.3,34.5,23.7,16.42,8.7,82.61,0.62,0,20.58,3.38,0,24.06,59.77,0.58,5.5,1.49,14.34,2.96,17.09,1.49,0.75,5.69,45.42,50.85,83.1,83.4,297.62,297.62,0,3720.24,0.01,0.1,0.09,0,0.19,0.03,0.02,0,0,1.48,97.5,0,26.32,29.1,0,15.79,80.7,26.85,4.88,0,5505.95,0.29,7.3,689.99,10.53,51.04,0,0
8250007.06,PALLISER,SW,39.83,37.38,74.76,30.12,10.57,30.26,49.64,64.29,4.4,23.89,40.85,52.4,12.06,6.08,86.19,1.48,6.6,29.86,5.6,6.47,25.45,5.08,0.82,4.3,3.13,24.65,10.6,20.26,13.83,0.88,6.17,15.37,52.76,83.1,83.4,352.84,117.61,8.93,1940.61,0.04,0.05,0.12,0,0.36,0.01,0.12,0.04,4.17,1.76,97.5,43.02,23.36,32.65,8,37.95,80.7,38.9,13.23,3.79,2322.85,0.35,18.44,850.93,13.66,51.02,6.82,12.12
8250007.07,PUMP HILL,SW,27.63,29.98,74.83,22.33,10.61,28.28,45.3,64.75,0.6,23.34,42.95,50,11.95,7.02,84.21,0.99,0,37.04,3.94,0,34.18,4,0.58,7.8,1.82,24.11,8.99,16.57,12.82,3.55,5.75,14.44,52.54,83.1,83.4,441.36,63.05,6.16,1576.29,0.06,0.04,0.13,0,0.27,0.08,0.07,0.06,2.9,0,97.5,25.93,24.36,43.4,6.74,23.86,80.7,25.5,5.06,3.18,3215.64,0.33,24.17,1024.24,11.3,51.04,4.17,0
8250008,HAYSBORO,SW,34.42,20.67,70.28,50.38,15.24,19.94,46.78,62.77,2.21,22.17,55.9,68.05,16.67,6.63,83.98,1.61,2.03,0,5.39,5.97,15.25,5.41,0.82,3.5,3.01,25.16,4.74,17.99,6.79,0.18,3.08,11.02,41.38,60.5,64.7,175.5,421.2,5.14,2527.2,0.2,0.02,0.09,0.02,0.18,0,0.23,0.03,1.06,0.88,81.6,13.1,20.92,17.54,5.38,19.78,65.1,28.1,9.83,2,3194.1,0.44,20.38,1296.02,11.15,44.99,4.38,12.82
8250009,HAYSBORO,SW,46.4,43.78,60.21,53.14,19.54,27.98,54.86,63.28,3.76,24.92,62.25,73.75,13.6,15.5,76.5,2.31,12,24.3,5.82,10.13,25.9,5.39,0.89,3.8,6.16,26.12,13,17.11,17.4,1,8.74,13.17,49.67,60.5,64.7,1159.07,399.68,13.35,4756.2,0.19,0.02,0.11,0,0.22,0,0.32,0.29,7.16,1.6,81.6,46.25,16.93,16.2,10.13,33.75,65.1,38.7,14.29,4.91,8073.54,0.48,16,707.33,15.81,45,7.09,25
8250010,"ACADIA, HAYSBORO",SE,50.76,47.18,66.66,54.04,24.28,35.24,59.91,66.78,6.92,22.9,58.4,75.7,10.69,14.14,72.43,2.24,12.41,24.52,6.79,10.93,37.22,5.75,0.87,3.6,4.44,25.83,17.51,17.77,20.99,1.86,9.17,9.58,49.05,63,63.7,1539.96,638.18,17.54,6367.92,0.23,0.04,0.1,0,0.08,0.02,0.08,0.23,10.09,4.57,83,64.03,17.25,19.36,11.6,48.8,54.9,40,17.54,5.47,14955.6,0.48,9.32,400.38,14.11,45.34,8.72,18.46
8250011,ACADIA,SE,38.01,23.23,67.8,55.7,18.22,21.95,53.82,62.62,2.49,21.16,40.45,59.85,14.13,6.81,88.09,2.19,5.96,10,6.65,8.12,15.62,5.9,0.81,3.3,4.59,26.86,5.98,20.48,9.32,0.47,4.03,12.79,41.76,63,63.7,502.83,345.69,4.75,2325.58,0.24,0.02,0.06,0,0.16,0,0.29,0.33,0.92,0.79,83,21.79,20.37,17.9,0,22.4,54.9,39.1,12.5,2.57,4902.58,0.36,14.75,796.82,12.53,45.44,2.45,17.24
8250012,"FAIRVIEW, FAIRVIEW INDUSTRIAL",SE,44.91,38.26,71.57,52.89,20.15,29.27,57.95,61.8,6.59,23.14,58.4,72.7,15.49,10.28,82.24,2.27,7.46,21.43,6.3,6.51,27.34,6.3,0.85,3.6,3.86,26.93,11.38,17.27,19.17,1.15,8.92,6.05,49.32,63,63.7,946.53,793.04,11.55,7162.96,0.13,0.02,0.07,0,0.16,0.01,0.05,0.17,7.83,3.33,83,38.64,21.44,14.6,7.02,34.51,54.9,50.5,15.21,4.87,9465.34,0.44,12.18,996.06,11.82,51.29,6.9,15.91
8250013,KINGSLAND,SW,52.07,45.41,67.65,64.24,27.57,34.04,55.43,63.76,7.08,23.55,62.05,78.15,14.26,12.19,77.11,2.32,7.64,24.56,6.57,9.98,38.57,5.72,0.9,3.8,4.49,26.14,15.76,16.96,21.34,1.5,4.64,10.26,50.19,53.1,62.5,1808.51,872.34,15.51,5978.72,0.19,0.04,0.14,0,0.22,0.02,0.07,0.1,10.59,5.25,68.6,66.59,18.91,12.02,8.85,39.29,50.3,59.2,17.8,7.03,18106.38,0.48,13.49,540.34,13.59,42.52,9.51,12.62
8250014,KELVIN GROVE,SW,28.5,29.73,69.63,34.49,16.01,23,42.52,63.02,2.85,20.53,50.35,48.25,14.19,5.42,83.39,1.36,6.91,26.53,4.22,2.76,21.88,6.55,0.67,7.9,1.75,22.78,7.88,18.44,11.05,0.74,3.45,9.12,46.43,87,74,898.56,419.33,6.56,3314.7,0.13,0.05,0.14,0,0.28,0.05,0.12,0.17,3.5,1.86,84.7,26.77,21.77,27.97,2.55,21.54,74.5,19.6,9.43,1.79,5950.48,0.47,23.96,1461.93,10.08,44.38,5.29,4.76
8250015,"GLENMORE PARK, NORTH GLENMORE PARK",SW,25.6,26.35,74.63,17.86,6.34,19.86,32.58,61.47,2.51,20.38,35.65,31.4,19.35,5.29,84.66,1.09,3.45,12.5,3.94,2.65,15.01,6.62,0.71,5.5,2.62,22.15,5.23,16.56,11.39,0.42,4.18,38.87,50.71,92.5,85.2,564.81,508.33,6.56,3049.99,0.06,0.02,0.09,0,0.14,0,0.15,0.32,1.9,0.42,100,19.39,21.43,18.36,3.7,24.06,93.7,19.9,7.8,2.1,3332.39,0.38,21.42,2564.92,12.87,57.6,4.38,8.75
8250016,LAKEVIEW,SW,31.6,27.23,74.03,21.02,4.43,26.64,49.13,64.04,1.93,20.71,43.11,41.1,18.59,3.9,84.75,1.42,3.94,26.73,4.38,5.75,17.4,5.44,0.84,4.8,5.69,25.79,8.91,17.93,15.76,0.33,3.64,10.3,46.63,92.5,85.2,330.11,264.08,6.77,2134.68,0.1,0.08,0.07,0,0.15,0.03,0.18,0.19,2.58,1.54,100,26.92,21.16,19.25,3.53,28.82,93.7,20.8,14.5,2.9,2266.73,0.29,18.19,1250.08,11.24,61.7,3.41,7.07
8250017.01,"GLENBROOK, GLENDALE",SW,43.06,37.46,65.93,40.67,14.4,29.59,51.71,60.57,7.93,24.02,47.3,57.75,17.23,10.26,78.89,1.6,9.09,21.43,5.65,6.12,31.68,5.08,0.88,3.9,2.83,27.41,11.93,17.56,13.03,0.98,6.28,22.33,49.81,71.1,81.5,779.27,487.04,10.62,3000.19,0.26,0.12,0.1,0,0.28,0,0.23,0.16,5.97,4.35,82.6,35.8,20.95,17.72,3.45,28.97,70.9,45.3,18.08,4.63,3292.42,0.4,13.74,1285.46,11.62,49.85,8.05,12.73
8250017.03,GLAMORGAN,SW,48.95,46.38,75.02,42.2,16.92,32.16,56.63,65.52,6.27,23.11,44.45,63.2,14.78,10.39,84.23,2.3,13.21,34.72,6.14,5.98,29.99,5.02,0.89,4,4.18,27.53,18.81,20.03,16.22,1.58,6.38,11.66,50.75,71.6,76.7,803.44,573.89,13.65,2668.58,0.14,0.09,0.1,0,0.21,0.06,0.01,0,4.32,3.19,93.3,54.79,21.2,15.49,9.68,50,68.1,46.4,18.82,8.21,5652.8,0.31,12.66,797.56,11.93,47.19,7.14,14.1
8250017.04,SIGNAL HILL,SW,35.29,23.98,77.3,34.29,11.42,25.47,60.79,64.23,2.29,23.05,39.37,62.05,12.07,5.47,83.98,1.01,5.2,22.73,4.8,1.37,38.44,5.08,0.78,4,1.49,27.46,6.55,15.69,12.76,1.44,7.02,4.89,46.74,67.4,80.4,177.3,177.3,5.61,1773.05,0.13,0.14,0.09,0.02,0.2,0.03,0.02,0,5.26,2.33,87.7,12.34,21.17,26.36,0,24.18,65.3,21,9.29,0.54,3546.1,0.22,6.7,811.43,11.52,56.51,4.95,10.34
8250017.05,SIGNAL HILL,SW,35.22,23.42,77.65,29.9,14.11,24.92,57.15,61.38,2.77,25.2,45.15,62.7,13.28,11.66,81.61,0.78,6.41,0,5.11,3.97,41.22,4.93,0.77,4.7,0.85,27.39,7.48,14.25,8.4,2.12,7.72,8.71,48.53,76.3,71.5,451.85,197.68,6.23,6777.75,0.1,0.08,0.12,0.05,0.15,0,0.04,0.01,4.4,2.82,94.2,11.24,21.25,22.18,5.42,20,68,24.7,8.7,0.85,7257.84,0.13,7.46,1428.16,11.29,50.64,3.38,7.29
8250017.06,SIGNAL HILL,SW,34.63,26.43,79.38,28.3,12.91,25.93,54.14,62.61,2.28,24.91,50.5,57.15,14.98,6.52,84.42,0.67,6.21,25,4.59,3.79,39.9,4.84,0.72,5,0.78,26.77,6.69,13.92,8.34,2.06,10.24,12.15,49.32,76.3,71.5,286.26,267.18,6.37,1603.05,0.11,0.02,0.09,0,0.22,0.02,0,0,4.41,4.32,94.2,8.47,23.14,21.56,5.15,18.13,68,15.6,6.54,1.6,1450.38,0.24,10.59,1736.56,12.05,49.2,4.15,5.8
8250018.01,GLAMORGAN,SW,39.18,30.35,71.49,47.97,14.44,25.43,52.59,61.55,4.68,23.11,49.1,67.55,16.03,6.91,86.64,1.32,5.08,23.19,5.7,6.71,21.11,5.61,0.86,4.2,2.01,27.35,11.04,19.16,13.54,1.69,5.43,8.3,43.96,50.3,67.6,367.4,200.4,10.39,3039.41,0.21,0.09,0.12,0,0.15,0.06,0.08,0.1,3.18,3.73,91,29.8,20.44,17.2,4.85,32.04,70.7,28.9,13.33,3.89,3640.61,0.43,17.61,1236,8.7,47.21,4.96,11.27
8250018.02,RUTLAND PARK,SW,40.12,33.58,64.93,54.49,14.09,26.26,52.67,61.88,5.34,23.18,50.4,74,16.47,8.87,84.68,2.63,0,12.15,6.05,6.73,23.5,5.91,0.85,4.2,1.2,26.78,10.61,20.25,12.74,0.71,4.94,0.73,51.46,50.3,67.6,612.92,471.48,8.41,2404.53,0.24,0.06,0.21,0,0.21,0.12,0.21,0.07,4.09,3.07,91,63.22,19.42,20,4.88,33.33,70.7,47.7,17.95,1.87,5044.79,0.47,18.8,1242.21,16.13,50.41,6.38,9.52
